Source	Character	Field	OldValue	NewValue
h	泪	primitives	水目	氵目
h	溟	primitives	水冥	氵冥
h	潟	primitives	水舄	氵舄
h	洲	primitives	水州	氵州
h	淋	primitives	水林	氵林
h	洛	primitives	水各	氵各
h	洸	primitives	水光	氵光
h	淀	primitives	水定	氵定
h	洩	primitives	水曳	氵曳
h	瀞	primitives	水静	氵静
h	沫	primitives	水末	氵末
h	鴻	primitives	水工鳥	氵工鳥
h	渾	primitives	水軍	氵軍
h	洒	primitives	水西	氵西
h	濫	primitives	水監	氵監
h	氾	primitives	水㔾	氵㔾
h	汲	primitives	水及	氵及
h	渥	primitives	水屋	氵屋
h	浙	primitives	水折	氵折
h	汎	primitives	水凡	氵凡
h	裟	primitives	水小衣	氵小衣
h	濾	primitives	水慮	氵慮
h	灘	primitives	水難	氵難
h	沐	primitives	水木	氵木
h	濠	primitives	水豪	氵豪
h	涅	primitives	水日土	氵日土
h	漉	primitives	水鹿	氵鹿
h	澱	primitives	水殿	氵殿
h	潅	primitives	水[pegasus]	氵[pegasus]
h	漸	primitives	水斬	氵斬
h	汀	primitives	水丁	氵丁
h	湛	primitives	水甚	氵甚
h	溌	primitives	水発	氵発
h	渫	primitives	水枼	氵枼
h	洵	primitives	水旬	氵旬
h	瀴	primitives	水嬰	氵嬰
h	浬	primitives	水里	氵里
h	泄	primitives	水世	氵世
h	澤	primitives	水罒幸	氵罒幸
cs	淘	primitives	水匋	氵匋
h	淘	primitives	水勹缶	氵勹缶
h	瀆	primitives	水士四貝	氵士四貝
cs	瀆	primitives	水賣	氵賣
cs	濁	primitives	水蜀	氵蜀
cs	湾	primitives	水弯	氵弯

######## 内 -> 內 #######

######## 平 -> 乎 #######

######## 良 -> [halo] #######

######## 歩 -> 步 #######

######## 火 -> 灬 #######
h	然	primitives	夕犬火	夕犬灬
h	熱	primitives	圥土丸火	圥土丸灬
cs	熱	primitives	坴丸火	坴丸灬
h	烹	primitives	高了火	高了灬
cs	烹	primitives	亨火	亨灬
h	無	primitives	𠂉[oaken_tub]火	𠂉[oaken_tub]灬
h	点	primitives	占火	占灬
h	黒	primitives	里火	里灬
h	黙	primitives	里犬火	里犬灬
h	魚	primitives	勹田火	勹田灬
h	燃	primitives	火然	灬然
h	照	primitives	昭火	昭灬
h	焦	primitives	隹火	隹灬
h	熟	primitives	享丸火	享丸灬
h	烈	primitives	列火	列灬
h	煮	primitives	者火	者灬
h	薫	primitives	艹重火	艹重灬
h	熊	primitives	能火	能灬
h	蒸	primitives	艹了水火	艹了水灬
h	勲	primitives	動火	動灬
h	燕	primitives	廿口北火	廿口北灬
h	庶	primitives	[caverns]火	[caverns]灬
h	煎	primitives	前火	前灬
h	窯	primitives	穴羊火	穴羊灬
h	煕	primitives	臣巳火	臣巳灬
h	舄	primitives	臼勹火	臼勹灬
cs	蒸	primitives	艹丞火	艹丞灬

######## 黒 -> 黑 #######

######## 川 -> 巛 #######
h	巠	primitives	一川工	一巛工
h	痙	primitives	疒一川工	疒一巛工
h	勁	primitives	一川工力	一巛工力
h	𥻘	primitives	粦川	粦巛
h	拶	primitives	扌川夕	扌巛夕
h	災	primitives	川火	巛火

######## 川 -> [flood-bottom] #######

######## 赤 -> 亦 #######

######## 犬 -> 犭 #######
h	獲	primitives	犬艹隻	犭艹隻
cs	獲	primitives	犬蒦	犭蒦
h	猿	primitives	犬[lidded_crock]𧘇	犭[lidded_crock]𧘇
cs	猿	primitives	犬袁	犭袁
h	猟	primitives	犬⺍几[cornstalk]	犭⺍几[cornstalk]
cs	猟	primitives	犬鼡	犭鼡
h	猶	primitives	犬丷酉	犭丷酉
cs	猶	primitives	犬酋	犭酋
h	猯	primitives	犬耑	犭耑
h	犯	primitives	犬㔾	犭㔾
h	独	primitives	犬虫	犭虫
h	狙	primitives	犬且	犭且
h	猫	primitives	犬艹田	犭艹田
h	狩	primitives	犬守	犭守
h	狂	primitives	犬王	犭王
h	狼	primitives	犬良	犭良
h	狭	primitives	犬夹	犭夹
h	猛	primitives	犬子皿	犭子皿
h	狸	primitives	犬里	犭里
h	獅	primitives	犬師	犭師
h	狐	primitives	犬瓜	犭瓜
h	狗	primitives	犬句	犭句
h	猪	primitives	犬者	犭者
h	狡	primitives	犬交	犭交
h	荻	primitives	艹犬火	艹犭火
h	猾	primitives	犬骨	犭骨
h	狛	primitives	犬白	犭白
h	猥	primitives	犬畏	犭畏
h	狽	primitives	犬貝	犭貝
h	狒	primitives	犬弗	犭弗
h	獨	primitives	犬罒勹虫	犭罒勹虫
cs	獨	primitives	犬蜀	犭蜀

######## 肉 -> 月 #######

######## 東 -> 柬 #######

######## 西 -> 覀 #######

######## 青 -> 靑 #######

######## 示 -> 礻 #######
cs	禄	primitives	示录	礻录
h	祢	primitives	示𠂉小	礻𠂉小
cs	祢	primitives	示尓	礻尓
h	祲	primitives	示[french_maid]	⺬[french_maid]
h	神	primitives	示申	礻申
h	社	primitives	示土	礻土
h	礼	primitives	示乙	礻乙
h	視	primitives	示見	礻見
h	祝	primitives	示兄	礻兄
h	祖	primitives	示且	礻且
h	福	primitives	示畐	礻畐
h	祈	primitives	示斤	礻斤
h	祐	primitives	示右	礻右
h	祥	primitives	示羊	礻羊
h	祉	primitives	示止	礻止
h	禅	primitives	示単	礻単
h	祓	primitives	示犬丿	⺬犬丿
