Source	Character	Field	OldValue	NewValue
h	鴫	primitives		田鳥
h	鐵	primitives		金十戈呈
h	釵	primitives		金叉
h	扼	primitives		扌厄
h	鬆	primitives		髟松
h	圓	primitives		囗員
h	楡	primitives		木兪
h	與	primitives		臼一八
h	藹	primitives		艹謁
h	檸	primitives		木寧
h	檬	primitives		木蒙
h	笨	primitives		竹本
h	桀	primitives		舛木
h	鞁	primitives		革皮
h	甑	primitives		曾瓦
h	駱	primitives		馬各
h	袢	primitives		衤半
h	孩	primitives		子亥
h	鞋	primitives		革圭
h	悍	primitives		忄旱
h	鎬	primitives		金高
h	愴	primitives		忄倉
h	縋	primitives		糸追
h	躬	primitives		身弓
h	鴇	primitives		匕十鳥
h	壹	primitives		士冖豆
h	刳	primitives		夸刂
h	玻	primitives		王皮
h	謐	primitives		言必皿
h	訥	primitives		言內
h	蝗	primitives		虫皇
h	拏	primitives		奴手
h	軛	primitives		車厄
h	胥	primitives		疋月
h	聊	primitives		耳卯
h	颶	primitives		風具
h	餘	primitives		食余
h	剌	primitives		束刂
h	呻	primitives		口申
h	匐	primitives		勹畐
h	蹠	primitives		足庶
h	憮	primitives		忄無
h	翅	primitives		支羽
h	疵	primitives		疒此
h	逹	primitives		辶幸
h	蛟	primitives		虫交
h	猖	primitives		犭昌
h	哥	primitives		可
h	霄	primitives		雨肖
h	瓠	primitives		夸瓜
h	楸	primitives		木秋
h	搶	primitives		扌倉
h	襦	primitives		衤需
h	滸	primitives		氵許
h	潘	primitives		氵番
h	驟	primitives		馬聚
h	覯	primitives		冓見
h	袂	primitives		衤夬
h	陋	primitives		阜丙
h	睛	primitives		目靑
h	衒	primitives		行玄
h	鮓	primitives		魚乍
h	凉	primitives		冫京
h	昵	primitives		日尼
h	懃	primitives		勤心
h	誂	primitives		言兆
h	儔	primitives		亻壽
h	摸	primitives		扌莫
h	咥	primitives		口至
h	啾	primitives		口秋
h	逡	primitives		辶夋
h	饑	primitives		食幾
h	馗	primitives		九首
h	緘	primitives		糸咸
h	圀	primitives		囗八方
h	噤	primitives		口禁
h	瘧	primitives		疒虐
h	炳	primitives		火丙
h	虱	primitives		乙䖝
h	蕁	primitives		艹尋
h	糺	primitives		糸乙
h	梃	primitives		木廷
h	閂	primitives		門一
h	鵝	primitives		我鳥
h	誡	primitives		言戒
h	舁	primitives		臼廾
h	篝	primitives		竹冓
h	貮	primitives		一弋貝
h	嫋	primitives		女弱
h	饌	primitives		食巽
h	鵠	primitives		告鳥
h	斂	primitives		僉攵
h	啼	primitives		口帝
h	甜	primitives		舌甘
h	疣	primitives		疒尤
h	騅	primitives		馬隹
h	蒿	primitives		艹高
h	祚	primitives		礻乍
h	瞠	primitives		目堂
h	隘	primitives		阜益
h	瘰	primitives		疒累
h	攅	primitives		扌賛
h	艱	primitives		廿口夫艮
h	貊	primitives		豸百
h	粽	primitives		米宗
h	縣	primitives		県系
h	嶮	primitives		山僉
h	斃	primitives		敝死
h	壯	primitives		爿士
h	舩	primitives		舟公
h	咄	primitives		口出
h	縒	primitives		糸差
h	范	primitives		艹氾
h	蛆	primitives		虫且
h	緬	primitives		糸面
h	實	primitives		宀貫
h	罔	primitives		冂䒑亡
h	兩	primitives		一冂丨入
h	蝴	primitives		虫胡
h	篩	primitives		竹師
h	娥	primitives		女我
h	堝	primitives		土咼
h	縊	primitives		糸益
h	喃	primitives		口南
h	沁	primitives		氵心
h	冀	primitives		北異
h	萠	primitives		艹朋
h	鹽	primitives		臣鹵皿
h	蛞	primitives		虫舌
h	蝓	primitives		虫兪
h	茯	primitives		艹伏
h	苞	primitives		艹包
h	佻	primitives		亻兆
h	郛	primitives		孚⻏
h	閧	primitives		門共
h	淆	primitives		氵肴
h	煥	primitives		火奐
h	坏	primitives		土不
h	忤	primitives		忄午
h	庠	primitives		广羊
h	剔	primitives		易刂
h	擱	primitives		扌閣
h	藺	primitives		艹門隹
h	軫	primitives		車㐱
h	漓	primitives		氵离
h	蜊	primitives		虫利
h	鯊	primitives		沙魚
h	閏	primitives		門王
h	軾	primitives		車式
h	杢	primitives		木工
h	鈿	primitives		金田
h	秣	primitives		禾末
h	竈	primitives		穴土黽
h	敞	primitives		尚攵
h	鶉	primitives		享鳥
h	崑	primitives		山昆
h	惠	primitives		一日丨心
h	坩	primitives		土甘
h	捩	primitives		扌戻
h	鵙	primitives		貝鳥
h	倚	primitives		亻奇
h	帶	primitives		冖巾
h	隋	primitives		阜左月
h	棕	primitives		木宗
h	誨	primitives		言毎
h	偸	primitives		亻兪
h	驀	primitives		莫馬
h	霖	primitives		雨林
h	忖	primitives		忄寸
h	哈	primitives		口合
h	瑕	primitives		王叚
h	洟	primitives		氵夷
h	鰊	primitives		魚柬
h	鑚	primitives		金賛
h	褌	primitives		衤軍
h	闌	primitives		門柬
h	竄	primitives		穴鼠
h	窈	primitives		穴幼
h	轆	primitives		車鹿
h	毟	primitives		少毛
h	蟋	primitives		虫悉
h	蟀	primitives		虫率
h	譴	primitives		言遣
h	籃	primitives		竹監
h	烟	primitives		火因
h	兔	primitives		免丶
h	灑	primitives		氵麗
h	覿	primitives		𧶠見
h	洌	primitives		氵列
h	踰	primitives		足兪
h	啜	primitives		口叕
h	膂	primitives		旅月
h	盒	primitives		合皿
h	誣	primitives		言巫
h	綏	primitives		糸妥
h	拱	primitives		扌共
h	酥	primitives		酉禾
h	狢	primitives		犭各
h	楳	primitives		木某
h	茱	primitives		艹朱
h	珥	primitives		王耳
h	峪	primitives		山谷
h	霆	primitives		雨廷
h	址	primitives		土止
h	艀	primitives		舟孚
h	滷	primitives		氵鹵
h	狄	primitives		犭火
h	岨	primitives		山且
h	橄	primitives		木敢
h	裘	primitives		求衣
h	吝	primitives		文口
h	漲	primitives		氵張
h	浚	primitives		氵夋
h	醗	primitives		酉発
h	駭	primitives		馬亥
h	閘	primitives		門甲
h	侈	primitives		亻多
h	舍	primitives		人舌
h	嫦	primitives		女常
h	肚	primitives		月土
h	壟	primitives		龍土
h	燧	primitives		火遂
h	耄	primitives		老毛
h	慍	primitives		忄囚皿
h	崙	primitives		山侖
h	找	primitives		扌戈
h	瀏	primitives		氵劉
h	挌	primitives		扌各
h	棹	primitives		木卓
h	鄒	primitives		芻⻏
h	沂	primitives		氵斤
h	卞	primitives		亠卜
h	荀	primitives		艹旬
h	汾	primitives		氵分
h	竸	primitives		竟
h	誦	primitives		言甬
h	粹	primitives		米卒
h	鄂	primitives		咢⻏
h	飄	primitives		票風
h	抬	primitives		扌台
h	鷓	primitives		庶鳥
h	鴣	primitives		古鳥
h	睥	primitives		目卑
h	淮	primitives		氵隹
h	鄰	primitives		粦⻏
h	諤	primitives		言咢
h	鎹	primitives		金送
h	抒	primitives		扌予
h	杼	primitives		木予
h	燬	primitives		火毀
h	螫	primitives		赦虫
h	鍜	primitives		金叚
h	埔	primitives		土甫
h	碼	primitives		石馬
h	儂	primitives		亻農
h	釡	primitives		八金
h	菁	primitives		艹靑
h	臙	primitives		月燕
h	篁	primitives		竹皇
h	隗	primitives		阜鬼
h	跛	primitives		足皮
h	糜	primitives		麻米
h	颪	primitives		下風
h	抛	primitives		扌九力
h	弌	primitives		弋一
h	斟	primitives		甚斗
h	鱶	primitives		魚養
h	斫	primitives		石斤
h	寤	primitives		宀爿吾
h	拈	primitives		扌占
h	拯	primitives		扌丞
h	枋	primitives		木方
h	冽	primitives		冫列
h	搦	primitives		扌弱
h	迢	primitives		辶召
h	跏	primitives		足加
h	吶	primitives		口內
h	扎	primitives		扌乙
h	疔	primitives		疒丁
h	昃	primitives		日仄
h	樂	primitives		幺白木
h	裄	primitives		衤行
h	濘	primitives		氵寧
h	跣	primitives		足先
h	鹹	primitives		鹵咸
h	鴟	primitives		氐鳥
h	對	primitives		並丷一土寸
h	學	primitives		臼爻冖子
h	衄	primitives		血丑
h	佞	primitives		人二女
h	栢	primitives		木百
h	窕	primitives		穴兆
h	溯	primitives		氵朔
h	儷	primitives		亻麗
h	腟	primitives		月室
h	蜈	primitives		虫呉
h	蚣	primitives		虫公
h	雜	primitives		亠从木隹
h	澗	primitives		氵間
