Source	Character	Field	OldValue	NewValue
rrtk	刀	keywords		sword
rrtk	刀	story		This<strong> sword </strong>is so sharp, it can cut the top part of カ off in カタナ.
rrtk	刃	keywords		blade
rrtk	刃	story		<i>A drop of</i> (丶) blood on the<strong> blade</strong> of my <i>sword</i> (刀).
rrtk	切	keywords		cut
rrtk	切	story		The <i>seven</i> (匕) samurai used their <i>sword</i>s (刀) to<strong> cut</strong> their opponents.
rrtk	召	keywords		summon
rrtk	召	story		A king is having a hard time <b>eating</b> a piece of of meat because it can't fit in his <i>mouth</i> (口), so he <b>calls for/summons</b> someone to bring him his <i>sword</i> (刀).
rrtk	昭	keywords		shining
rrtk	昭	story		When the <i>sun</i> (日) is <i>summon</i>ed (召), it starts <b>shining</b>.
rrtk	則	keywords		rule
rrtk	則	story		When you have both <em>money</em> (貝) and the power of the <em>sword </em>(刂), you can make the <strong>rules</strong>.
rrtk	副	keywords		vice-
rrtk	副	story		The <em>wealthy</em> (畐) guy with the <em>sword</em> (刂) standing next to the king, that's the<strong> vice-</strong>roy who does all the dirty work.
rrtk	別	keywords		separate
rrtk	別	story		They<strong> separate</strong>d me from the group. They gagged my <em>mouth </em>(口), <em>bound</em> (勹) me up, and threatened me with a <em>sword</em> (刂).
rrtk	丁	keywords		street
rrtk	丁	story		Two<strong> street</strong>s make a T-intersection.
rrtk	町	keywords		town
rrtk	町	conflicting_keywords		h:town
rrtk	町	story		In this <b>town</b>, you can find <i>rice field</i>s (田) and <i>street</i>s (丁).
rrtk	可	keywords		can
rrtk	可	story		A <i>mouth</i> (口) on the <i>street</i> (丁) asking for things: "<b>Can</b> I get some help?,<strong> Can</strong> I get directions?,<strong> Can</strong> I have some money?,<strong> Can</strong> you please speak English?".
rrtk	頂	keywords		crown (of head)
rrtk	頂	story		Driving down the <i>street</i> (丁), looking at a <i>page</i> (頁) in the map, I hit another car, and started bleeding from the<strong> </strong><b>crown of my head</b>.
rrtk	子	keywords		child
rrtk	子	story		A pictograph of a<strong> child</strong>, with arms outstretched for mother (or perhaps because she is chasing a rat?).
rrtk	孔	keywords		cavity
rrtk	孔	story		I warned him about <strong>cavities</strong>, but the <em>child</em> (子) is still <em>hooked</em> (乚) on sweets.
rrtk	了	keywords		complete
rrtk	了	story		The experiment was a<strong> complete</strong> failure! The <i>child</i> (子) was made without any arms!
rrtk	女	keywords		woman
